"id","score","grade","grade_criteria","grade_criteria5","grade_criteria10","credit_y1","sex_m1","exmath","absp","social","club"
42,74,"B","(70,80]","(70,75]","(70,80]",1,1,55,0,41,1
43,74,"B","(70,80]","(70,75]","(70,80]",1,0,69,0.27,38,0
44,78,"B","(70,80]","(75,80]","(70,80]",1,0,79,0,33,0
45,76,"B","(70,80]","(75,80]","(70,80]",1,0,78,0.32,42,1
46,66,"C","(60,70]","(65,70]","(60,70]",1,1,46,0.03,45,1
47,75,"B","(70,80]","(70,75]","(70,80]",1,1,53,0.2,51,1
48,83,"A","(80,90]","(80,85]","(80,90]",1,0,80,0.52,45,1
49,78,"B","(70,80]","(75,80]","(70,80]",1,1,55,0.09,40,1
50,87,"A","(80,90]","(85,90]","(80,90]",1,0,68,0,31,0
51,82,"A","(80,90]","(80,85]","(80,90]",1,0,63,0,45,1
52,78,"B","(70,80]","(75,80]","(70,80]",1,1,70,0,41,1
53,72,"B","(70,80]","(70,75]","(70,80]",1,0,56,0.18,46,1
54,73,"B","(70,80]","(70,75]","(70,80]",1,1,57,0.39,45,1
55,74,"B","(70,80]","(70,75]","(70,80]",1,1,72,0.7,46,1
56,78,"B","(70,80]","(75,80]","(70,80]",1,0,63,0.22,44,1
57,83,"A","(80,90]","(80,85]","(80,90]",1,0,77,0.24,42,1
58,73,"B","(70,80]","(70,75]","(70,80]",1,1,60,0.21,41,1
59,87,"A","(80,90]","(85,90]","(80,90]",1,1,75,0.34,42,1
60,84,"A","(80,90]","(80,85]","(80,90]",1,1,58,0.17,44,1
61,80,"B","(70,80]","(75,80]","(70,80]",1,1,62,0,29,0
62,78,"B","(70,80]","(75,80]","(70,80]",1,1,50,0.25,45,1
63,78,"B","(70,80]","(75,80]","(70,80]",1,1,50,0.1,45,1
64,73,"B","(70,80]","(70,75]","(70,80]",1,1,55,0,39,1
65,87,"A","(80,90]","(85,90]","(80,90]",1,0,65,0,48,1
66,77,"B","(70,80]","(75,80]","(70,80]",1,1,71,0.46,41,1
67,58,"F","[0,60]","(55,60]","(50,60]",0,1,63,0.43,33,0
68,65,"C","(60,70]","(60,65]","(60,70]",1,0,69,0.05,30,0
69,80,"B","(70,80]","(75,80]","(70,80]",1,0,65,0,37,1
70,81,"A","(80,90]","(80,85]","(80,90]",1,0,69,0,47,1
71,85,"A","(80,90]","(80,85]","(80,90]",1,0,77,0.3,48,1
72,73,"B","(70,80]","(70,75]","(70,80]",1,1,51,0.1,34,1
73,69,"C","(60,70]","(65,70]","(60,70]",1,1,55,0.23,39,0
74,72,"B","(70,80]","(70,75]","(70,80]",1,0,41,0,34,1
75,74,"B","(70,80]","(70,75]","(70,80]",1,1,56,0.32,33,1
76,72,"B","(70,80]","(70,75]","(70,80]",1,1,54,0,46,1
77,72,"B","(70,80]","(70,75]","(70,80]",1,1,62,0.33,41,1
78,75,"B","(70,80]","(70,75]","(70,80]",1,0,70,0.28,42,1
79,81,"A","(80,90]","(80,85]","(80,90]",1,0,85,0.39,40,1
80,76,"B","(70,80]","(75,80]","(70,80]",1,0,59,0,28,0
81,63,"C","(60,70]","(60,65]","(60,70]",1,1,49,0.12,44,0
82,65,"C","(60,70]","(60,65]","(60,70]",1,1,43,0,44,1
83,82,"A","(80,90]","(80,85]","(80,90]",1,0,72,0,32,0
84,70,"C","(60,70]","(65,70]","(60,70]",1,1,57,0.25,36,0
85,76,"B","(70,80]","(75,80]","(70,80]",1,1,52,0.47,39,1
86,59,"F","[0,60]","(55,60]","(50,60]",0,1,43,0.79,43,1
87,86,"A","(80,90]","(85,90]","(80,90]",1,1,65,0.22,43,1
88,76,"B","(70,80]","(75,80]","(70,80]",1,1,61,0.28,45,1
89,85,"A","(80,90]","(80,85]","(80,90]",1,1,44,0,51,1
90,81,"A","(80,90]","(80,85]","(80,90]",1,0,73,0.1,47,1
91,72,"B","(70,80]","(70,75]","(70,80]",1,1,55,0.54,38,1
92,68,"C","(60,70]","(65,70]","(60,70]",1,0,51,0.66,43,1
93,84,"A","(80,90]","(80,85]","(80,90]",1,1,58,0.34,43,1
94,83,"A","(80,90]","(80,85]","(80,90]",1,0,72,0,43,1
95,69,"C","(60,70]","(65,70]","(60,70]",1,1,81,0.8,44,1
96,78,"B","(70,80]","(75,80]","(70,80]",1,1,65,0,42,1
97,83,"A","(80,90]","(80,85]","(80,90]",1,0,72,0.44,39,1
98,72,"B","(70,80]","(70,75]","(70,80]",1,1,58,0.05,35,0
99,71,"B","(70,80]","(70,75]","(70,80]",1,1,52,0.25,36,1
100,77,"B","(70,80]","(75,80]","(70,80]",1,0,72,0,30,0
101,71,"B","(70,80]","(70,75]","(70,80]",1,1,45,0.01,48,1
102,74,"B","(70,80]","(70,75]","(70,80]",1,1,66,0,35,0
103,74,"B","(70,80]","(70,75]","(70,80]",1,1,63,0,41,1
104,69,"C","(60,70]","(65,70]","(60,70]",1,1,54,0.36,41,1
105,80,"B","(70,80]","(75,80]","(70,80]",1,1,56,0,41,1
106,66,"C","(60,70]","(65,70]","(60,70]",1,1,52,0.45,40,1
107,80,"B","(70,80]","(75,80]","(70,80]",1,0,73,0.07,33,0
108,65,"C","(60,70]","(60,65]","(60,70]",1,0,53,0.38,36,0
109,66,"C","(60,70]","(65,70]","(60,70]",1,0,74,0.69,39,0
110,82,"A","(80,90]","(80,85]","(80,90]",1,0,62,0,32,0
111,72,"B","(70,80]","(70,75]","(70,80]",1,1,69,0.07,44,0
112,74,"B","(70,80]","(70,75]","(70,80]",1,0,50,0.28,35,1
113,71,"B","(70,80]","(70,75]","(70,80]",1,1,53,0.03,37,0
114,67,"C","(60,70]","(65,70]","(60,70]",1,0,47,0.04,39,1
115,70,"C","(60,70]","(65,70]","(60,70]",1,1,53,0.05,38,0
116,80,"B","(70,80]","(75,80]","(70,80]",1,0,70,0,40,1
117,72,"B","(70,80]","(70,75]","(70,80]",1,0,65,0.38,46,1
118,69,"C","(60,70]","(65,70]","(60,70]",1,1,60,0.57,41,1
119,64,"C","(60,70]","(60,65]","(60,70]",1,1,36,0.44,46,1
120,84,"A","(80,90]","(80,85]","(80,90]",1,1,65,0.01,52,1
121,84,"A","(80,90]","(80,85]","(80,90]",1,0,70,0,39,1
122,75,"B","(70,80]","(70,75]","(70,80]",1,1,28,0,49,1
123,77,"B","(70,80]","(75,80]","(70,80]",1,1,77,0.2,34,0
124,85,"A","(80,90]","(80,85]","(80,90]",1,0,71,0.45,46,1
125,70,"C","(60,70]","(65,70]","(60,70]",1,0,58,0.63,45,1
126,82,"A","(80,90]","(80,85]","(80,90]",1,0,61,0,40,1
127,70,"C","(60,70]","(65,70]","(60,70]",1,0,52,0.09,39,1
128,75,"B","(70,80]","(70,75]","(70,80]",1,0,85,0.42,38,0
129,78,"B","(70,80]","(75,80]","(70,80]",1,0,70,0.08,38,1
130,61,"C","(60,70]","(60,65]","(60,70]",1,1,42,0.1,36,0
131,74,"B","(70,80]","(70,75]","(70,80]",1,0,64,0.15,41,1
132,82,"A","(80,90]","(80,85]","(80,90]",1,1,62,0.17,48,1
133,68,"C","(60,70]","(65,70]","(60,70]",1,0,54,0.06,39,0
134,82,"A","(80,90]","(80,85]","(80,90]",1,1,51,0,41,1
135,71,"B","(70,80]","(70,75]","(70,80]",1,0,74,0.81,46,1
136,74,"B","(70,80]","(70,75]","(70,80]",1,0,59,0,37,0
137,71,"B","(70,80]","(70,75]","(70,80]",1,0,54,0,36,0
138,72,"B","(70,80]","(70,75]","(70,80]",1,1,50,0,37,1
139,71,"B","(70,80]","(70,75]","(70,80]",1,1,62,0.78,40,1
140,87,"A","(80,90]","(85,90]","(80,90]",1,0,72,0,42,1
141,91,"S","(90,100]","(90,95]","(90,100]",1,1,72,0,40,1
142,68,"C","(60,70]","(65,70]","(60,70]",1,1,38,0,35,0
143,81,"A","(80,90]","(80,85]","(80,90]",1,0,69,0,48,1
144,74,"B","(70,80]","(70,75]","(70,80]",1,1,59,0.23,48,1
145,64,"C","(60,70]","(60,65]","(60,70]",1,1,50,0,36,0
146,69,"C","(60,70]","(65,70]","(60,70]",1,1,56,0.31,38,0
147,80,"B","(70,80]","(75,80]","(70,80]",1,0,53,0.23,47,1
148,77,"B","(70,80]","(75,80]","(70,80]",1,1,50,0.13,39,1
149,86,"A","(80,90]","(85,90]","(80,90]",1,0,70,0,33,1
150,76,"B","(70,80]","(75,80]","(70,80]",1,0,67,0.29,41,1
151,77,"B","(70,80]","(75,80]","(70,80]",1,1,59,0.1,41,1
152,78,"B","(70,80]","(75,80]","(70,80]",1,1,51,0,50,1
153,81,"A","(80,90]","(80,85]","(80,90]",1,1,76,0.96,42,1
154,79,"B","(70,80]","(75,80]","(70,80]",1,0,71,0.33,40,1
155,79,"B","(70,80]","(75,80]","(70,80]",1,0,61,0.1,41,1
156,66,"C","(60,70]","(65,70]","(60,70]",1,0,65,0,39,0
157,75,"B","(70,80]","(70,75]","(70,80]",1,1,42,0,42,1
158,83,"A","(80,90]","(80,85]","(80,90]",1,0,74,0.06,34,1
159,79,"B","(70,80]","(75,80]","(70,80]",1,0,48,0,39,1
160,73,"B","(70,80]","(70,75]","(70,80]",1,1,60,0.28,35,0
161,73,"B","(70,80]","(70,75]","(70,80]",1,0,62,0,33,0
162,80,"B","(70,80]","(75,80]","(70,80]",1,0,79,0.52,47,1
163,73,"B","(70,80]","(70,75]","(70,80]",1,0,46,0,31,0
164,82,"A","(80,90]","(80,85]","(80,90]",1,0,68,0,36,0
165,66,"C","(60,70]","(65,70]","(60,70]",1,1,46,0.15,35,0
166,70,"C","(60,70]","(65,70]","(60,70]",1,1,67,1,44,1
167,71,"B","(70,80]","(70,75]","(70,80]",1,0,49,0,44,1
168,63,"C","(60,70]","(60,65]","(60,70]",1,1,51,0.27,37,0
169,71,"B","(70,80]","(70,75]","(70,80]",1,1,57,0.52,45,1
170,82,"A","(80,90]","(80,85]","(80,90]",1,0,57,0,46,1
171,76,"B","(70,80]","(75,80]","(70,80]",1,1,50,0.12,42,1
172,68,"C","(60,70]","(65,70]","(60,70]",1,1,64,0.71,42,1
173,90,"A","(80,90]","(85,90]","(80,90]",1,0,72,0,34,1
174,82,"A","(80,90]","(80,85]","(80,90]",1,1,54,0,37,1
175,71,"B","(70,80]","(70,75]","(70,80]",1,0,51,0.04,47,1
176,70,"C","(60,70]","(65,70]","(60,70]",1,0,48,0,32,0
177,76,"B","(70,80]","(75,80]","(70,80]",1,0,62,0,32,0
178,81,"A","(80,90]","(80,85]","(80,90]",1,0,61,0.27,45,1
179,79,"B","(70,80]","(75,80]","(70,80]",1,1,67,0.28,47,1
180,70,"C","(60,70]","(65,70]","(60,70]",1,1,69,0.27,45,1
181,77,"B","(70,80]","(75,80]","(70,80]",1,1,78,0.45,37,0
182,67,"C","(60,70]","(65,70]","(60,70]",1,0,52,0.13,38,0
183,72,"B","(70,80]","(70,75]","(70,80]",1,0,69,0,32,0
184,76,"B","(70,80]","(75,80]","(70,80]",1,1,60,0,34,0
185,78,"B","(70,80]","(75,80]","(70,80]",1,1,61,0.12,45,1
186,71,"B","(70,80]","(70,75]","(70,80]",1,0,56,0,33,0
187,87,"A","(80,90]","(85,90]","(80,90]",1,0,60,0,41,1
188,82,"A","(80,90]","(80,85]","(80,90]",1,0,61,0,38,1
189,82,"A","(80,90]","(80,85]","(80,90]",1,1,71,0.05,40,1
190,80,"B","(70,80]","(75,80]","(70,80]",1,0,60,0,41,1
191,58,"F","[0,60]","(55,60]","(50,60]",0,1,70,0.21,36,0
192,82,"A","(80,90]","(80,85]","(80,90]",1,1,73,0,32,0
193,79,"B","(70,80]","(75,80]","(70,80]",1,0,58,0,46,1
194,66,"C","(60,70]","(65,70]","(60,70]",1,1,72,0.57,43,0
195,69,"C","(60,70]","(65,70]","(60,70]",1,1,58,0.28,36,0
196,78,"B","(70,80]","(75,80]","(70,80]",1,1,56,0.14,40,1
197,74,"B","(70,80]","(70,75]","(70,80]",1,1,58,0,31,0
198,76,"B","(70,80]","(75,80]","(70,80]",1,1,64,0,40,1
199,81,"A","(80,90]","(80,85]","(80,90]",1,1,76,0.15,34,0
200,81,"A","(80,90]","(80,85]","(80,90]",1,0,64,0,44,1
